n,bin_idx,K_lo,K_hi,K_1,K_2,h,q_num,q_den,q_float
6,1,1000000,10000000,3748975,6196134,2,-47,1,-47.0
6,1,1000000,10000000,8430415,9878486,2,-15,1,-15.0
6,1,1000000,10000000,3861315,6917145,2,-31,1,-31.0
6,1,1000000,10000000,2770658,4707749,3,34,1,34.0
6,1,1000000,10000000,5452126,9919792,2,-39,1,-39.0
6,1,1000000,10000000,2634857,9000524,2,-39,1,-39.0
6,1,1000000,10000000,8221427,8413879,2,-191,1,-191.0
6,1,1000000,10000000,2425646,5234512,2,-47,1,-47.0
6,1,1000000,10000000,4017691,4199315,2,-31,1,-31.0
6,1,1000000,10000000,2816773,5856410,2,-63,1,-63.0
6,1,1000000,10000000,1295026,4321440,2,-7,1,-7.0
6,1,1000000,10000000,1390018,5935577,3,4,1,4.0
6,1,1000000,10000000,6776859,9804754,2,-119,1,-119.0
6,2,1000000000,10000000000,1659020274,2704357544,2,-95,1,-95.0
6,2,1000000000,10000000000,7834800080,9056330181,2,-23,1,-23.0
6,2,1000000000,10000000000,2849882700,3867115221,2,-7,1,-7.0
6,2,1000000000,10000000000,3030400172,3597853281,2,-31,1,-31.0
6,2,1000000000,10000000000,1028845676,3396826272,2,-63,1,-63.0
6,2,1000000000,10000000000,4226215879,9228971316,2,-15,1,-15.0
6,2,1000000000,10000000000,1262487911,4376691418,2,-31,1,-31.0
6,2,1000000000,10000000000,3874448018,4712179438,2,-95,1,-95.0
6,2,1000000000,10000000000,3732262440,4202418463,2,-31,1,-31.0
6,2,1000000000,10000000000,5255269504,6886310759,2,-255,1,-255.0
6,2,1000000000,10000000000,1189068423,4618928096,2,-63,1,-63.0
6,2,1000000000,10000000000,1399757530,7174723043,2,-71,1,-71.0
6,2,1000000000,10000000000,1426205725,5516297530,2,-191,1,-191.0
6,2,1000000000,10000000000,1832855296,5312954218,2,-63,1,-63.0
6,2,1000000000,10000000000,5299765454,7303707985,2,-19,1,-19.0
6,2,1000000000,10000000000,4208215352,7380387974,2,-55,1,-55.0
6,2,1000000000,10000000000,7086407323,9596015909,3,116,1,116.0
6,2,1000000000,10000000000,8732921090,9031646064,2,-47,1,-47.0
6,2,1000000000,10000000000,1179334759,5765377626,2,-63,1,-63.0
6,2,1000000000,10000000000,3472918985,7750750267,2,-383,1,-383.0
6,2,1000000000,10000000000,5183826646,9706573804,2,-107,1,-107.0
6,2,1000000000,10000000000,2428145215,5471319078,2,-7,1,-7.0
6,2,1000000000,10000000000,1693740620,8451972519,2,-63,1,-63.0
6,2,1000000000,10000000000,6089369668,6791117074,3,359,1,359.0
6,2,1000000000,10000000000,3627566800,7129093023,2,-3,1,-3.0
6,2,1000000000,10000000000,5331680610,6589928518,2,-7,1,-7.0
6,2,1000000000,10000000000,4490892695,5078023172,2,-47,1,-47.0
6,2,1000000000,10000000000,1351170597,4375432894,2,-111,1,-111.0
6,2,1000000000,10000000000,1453156806,3304100926,2,-63,1,-63.0
6,2,1000000000,10000000000,4365565983,5285239310,2,-63,1,-63.0
6,2,1000000000,10000000000,4384796366,7661295799,2,-23,1,-23.0
6,2,1000000000,10000000000,5369894951,5462580495,2,-15,1,-15.0
6,2,1000000000,10000000000,9460421155,9512879841,2,-15,1,-15.0
6,2,1000000000,10000000000,3234506880,3843402995,2,-63,1,-63.0
6,2,1000000000,10000000000,1274367704,9747572800,2,-5,1,-5.0
6,2,1000000000,10000000000,3583726433,7435322775,2,-5,1,-5.0
6,2,1000000000,10000000000,1022380420,6571261327,2,-63,1,-63.0
6,2,1000000000,10000000000,1875602344,9737654313,3,343,1,343.0
6,2,1000000000,10000000000,3634195345,8474112609,2,-63,1,-63.0
