i,log2_a_plus_1,log2_q
1008,1.000000,1871.971253
1009,1.000000,1872.581458
1010,2.584963,1875.081011
1011,1.584963,1876.203241
1012,2.000000,1877.993756
1013,1.000000,1878.360085
1014,2.000000,1880.276850
1015,3.000000,1883.137782
1016,1.584963,1884.233808
1017,1.000000,1884.787466
1018,2.000000,1886.667678
1019,2.807355,1889.316522
1020,3.906891,1893.140215
1021,1.584963,1894.190280
1022,1.000000,1894.758747
1023,4.459432,1899.196662
1024,1.584963,1900.229565
1025,3.000000,1903.134286
1026,1.000000,1903.315113
1027,1.000000,1904.227531
1028,2.584963,1906.695148
1029,2.000000,1908.364533
1030,2.584963,1910.774436
1031,2.584963,1913.149662
1032,2.584963,1915.526159
1033,1.000000,1915.780241
1034,1.584963,1917.285380
1035,1.584963,1918.519450
1036,1.000000,1919.030530
1037,2.584963,1921.541921
1038,1.000000,1921.775056
1039,4.700440,1926.467192
1040,1.000000,1926.521949
1041,2.584963,1929.097928
1042,5.357552,1934.425892
1043,1.584963,1935.443740
1044,3.584963,1938.966530
1045,1.000000,1939.086886
1046,3.169925,1942.243924
1047,3.169925,1945.264001
1048,1.000000,1945.431709
1049,1.000000,1946.350290
1050,1.584963,1947.688874
1051,5.209453,1952.874558
1052,1.000000,1952.913663
1053,1.000000,1953.894243
1054,3.169925,1956.982856
1055,5.584963,1962.541048
1056,2.321928,1964.548683
1057,3.584963,1968.040367
1058,1.584963,1969.103110
1059,1.584963,1970.412705
1060,1.000000,1970.901667
1061,3.000000,1973.848872
1062,1.584963,1974.939495
1063,4.000000,1978.890855
1064,1.000000,1978.981225
1065,1.000000,1979.936747
1066,4.000000,1983.892400
1067,1.584963,1984.938158
1068,1.584963,1986.251050
1069,2.000000,1988.017651
1070,1.584963,1989.215453
1071,2.584963,1991.657983
1072,1.000000,1991.901604
1073,1.000000,1992.784930
1074,3.459432,1996.183022
1075,1.000000,1996.313766
1076,4.459432,2000.767504
1077,1.000000,2000.831883
1078,1.000000,2001.800053
1079,1.000000,2002.395703
1080,1.000000,2003.128403
1081,1.584963,2004.507900
1082,1.000000,2004.977112
1083,2.321928,2007.216620
1084,1.584963,2008.361814
1085,1.584963,2009.655848
1086,1.584963,2010.923569
1087,3.000000,2013.814077
1088,3.169925,2016.838194
1089,1.000000,2017.005459
1090,1.000000,2017.924250
1091,1.584963,2019.262789
1092,1.584963,2020.523068
1093,2.321928,2022.666287
1094,1.000000,2022.960686
1095,1.584963,2024.454032
1096,1.000000,2024.892525
1097,3.459432,2028.317165
1098,1.584963,2029.382826
1099,1.000000,2029.946232
