n,N,d_k,Q_n_at_cell,bin_count,bin_log_sum,M_n_total,log_M_n_total,bin_count_frac,bin_log_frac,cell_contribution_to_S_n
7,1000000,12,-5.0,620,7511.743700,4442,54031.902288,0.13957677,0.13902423,-37558.718498
7,1000000,13,-5.5,1,12.209586,4442,54031.902288,0.00022512,0.00022597,-67.152726
7,1000000,14,-6.0,37,443.729234,4442,54031.902288,0.00832958,0.00821236,-2662.375404
7,1000000,15,-6.5,16,192.264811,4442,54031.902288,0.00360198,0.00355836,-1249.721271
7,1000000,16,-7.0,678,8519.099139,4442,54031.902288,0.15263395,0.15766795,-59633.693970
7,1000000,18,-8.0,129,1577.632133,4442,54031.902288,0.02904097,0.02919816,-12621.057066
7,1000000,20,-9.0,156,1946.744762,4442,54031.902288,0.03511932,0.03602954,-17520.702862
7,1000000,21,-9.5,7,86.833892,4442,54031.902288,0.00157587,0.00160709,-824.921969
7,1000000,22,-10.0,5,64.620569,4442,54031.902288,0.00112562,0.00119597,-646.205687
7,1000000,24,-11.0,465,5909.221778,4442,54031.902288,0.10468258,0.10936542,-65001.439558
7,1000000,25,-11.5,2,24.161019,4442,54031.902288,0.00045025,0.00044716,-277.851717
7,1000000,26,-12.0,1,13.308199,4442,54031.902288,0.00022512,0.00024630,-159.698385
7,1000000,27,-12.5,10,127.032660,4442,54031.902288,0.00225124,0.00235107,-1587.908246
7,1000000,28,-13.0,31,391.004053,4442,54031.902288,0.00697884,0.00723654,-5083.052693
7,1000000,30,-14.0,49,615.805021,4442,54031.902288,0.01103107,0.01139706,-8621.270299
7,1000000,32,-15.0,171,2223.973554,4442,54031.902288,0.03849617,0.04116038,-33359.603307
7,1000000,33,-15.5,1,13.020517,4442,54031.902288,0.00022512,0.00024098,-201.818009
7,1000000,35,-16.5,2,25.701235,4442,54031.902288,0.00045025,0.00047567,-424.070382
7,1000000,36,-17.0,92,1185.793740,4442,54031.902288,0.02071139,0.02194618,-20158.493574
7,1000000,40,-19.0,55,718.623259,4442,54031.902288,0.01238181,0.01329998,-13653.841930
7,1000000,42,-20.0,8,102.820415,4442,54031.902288,0.00180099,0.00190296,-2056.408293
7,1000000,44,-21.0,1,13.531342,4442,54031.902288,0.00022512,0.00025043,-284.158188
7,1000000,45,-21.5,3,38.629373,4442,54031.902288,0.00067537,0.00071494,-830.531524
7,1000000,48,-23.0,63,830.435640,4442,54031.902288,0.01418280,0.01536936,-19100.019715
7,1000000,50,-24.0,2,26.125050,4442,54031.902288,0.00045025,0.00048351,-627.001189
7,1000000,54,-26.0,4,52.368592,4442,54031.902288,0.00090050,0.00096922,-1361.583381
